mass,x,y,z,vx,vy,vz
1.0,499.39953338209926,24.497062226756043,0.0,-6.92881552787521,141.251518630352,0.0
1.0,499.38404128838545,24.810870732002584,0.0,-7.017573976696748,141.24713680454408,0.0
1.0,499.36835200632515,25.124669440351006,0.0,-7.106329654537047,141.24269920544938,0.0
1.0,499.3524655421135,25.438458227893765,0.0,-7.195082526349762,141.23820583482012,0.0
1.0,499.33638190202356,25.752236970727242,0.0,-7.283832557089659,141.2336566944306,0.0
1.0,499.320101092406,26.066005544951786,0.0,-7.372579711712623,141.2290517860771,0.0
1.0,499.3036231196896,26.37976382667174,0.0,-7.461323955175671,141.2243911115779,0.0
1.0,499.2869479903809,26.69351169199554,0.0,-7.550065252436975,141.21967467277335,0.0
1.0,499.27007571106424,27.007249017035715,0.0,-7.638803568455869,141.21490247152582,0.0
1.0,499.25300628840193,27.32097567790896,0.0,-7.727538868192864,141.21007450971962,0.0
1.0,499.235739729134,27.634691550736196,0.0,-7.816271116609661,141.2051907892612,0.0
1.0,499.21827604007854,27.948396511642578,0.0,-7.905000278669167,141.2002513120789,0.0
1.0,499.200615228131,28.262090436757585,0.0,-7.993726319335505,141.1952560801232,0.0
1.0,499.1827573002653,28.575773202215053,0.0,-8.082449203574035,141.19020509536645,0.0
1.0,499.1647022635327,28.889444684153222,0.0,-8.171168896351361,141.1850983598032,0.0
1.0,499.14645012506253,29.20310475871479,0.0,-8.259885362635346,141.17993587544981,0.0
1.0,499.12800089206183,29.51675330204696,0.0,-8.348598567395129,141.17471764434484,0.0
1.0,499.1093545718156,29.83039019030148,0.0,-8.437308475601137,141.16944366854872,0.0
1.0,499.09051117168656,30.14401529963471,0.0,-8.526015052225096,141.16411395014399,0.0
1.0,499.07147069911525,30.457628506207648,0.0,-8.61471826224005,141.1587284912351,0.0
1.0,499.05223316162005,30.771229686186015,0.0,-8.703418070620373,141.15328729394864,0.0
1.0,499.03279856679717,31.084818715740266,0.0,-8.79211444234178,141.14779036043308,0.0
1.0,499.01316692232064,31.398395471045642,0.0,-8.880807342381342,141.142237692859,0.0
1.0,498.99333823594225,31.711959828282254,0.0,-8.969496735717506,141.13662929341893,0.0
1.0,498.97331251549156,32.0255116636351,0.0,-9.0581825873301,141.1309651643274,0.0
1.0,498.95308976887605,32.339050853294104,0.0,-9.146864862200347,141.125245307821,0.0
1.0,498.93267000408093,32.65257727345422,0.0,-9.235543525310892,141.11946972615823,0.0
1.0,498.9120532291692,32.966090800315406,0.0,-9.324218541645793,141.11363842161973,0.0
1.0,498.8912394522817,33.27959131008275,0.0,-9.412889876190565,141.107751396508,0.0
1.0,498.870228681637,33.593078678966435,0.0,-9.50155749393216,141.10180865314769,0.0
1.0,498.8490209255315,33.906552783181866,0.0,-9.590221359859003,141.0958101938853,0.0
1.0,498.82761619233924,34.22001349894969,0.0,-9.678881438961008,141.0897560210894,0.0
1.0,498.8060144905123,34.533460702495816,0.0,-9.767537696229578,141.08364613715062,0.0
1.0,498.7842158285804,34.84689427005149,0.0,-9.856190096657622,141.0774805444815,0.0
1.0,498.76222021515093,35.160314077853364,0.0,-9.94483860523958,141.07125924551656,0.0
1.0,498.74002765890924,35.473720002143516,0.0,-10.03348318697142,141.0649822427124,0.0
1.0,498.71763816861824,35.78711191916949,0.0,-10.122123806850666,141.05864953854757,0.0
1.0,498.69505175311883,36.10048970518437,0.0,-10.210760429876409,141.05226113552266,0.0
1.0,498.6722684213295,36.41385323644684,0.0,-10.299393021049308,141.04581703616014,0.0
1.0,498.64928818224655,36.727202389221176,0.0,-10.388021545371625,141.0393172430046,0.0
1.0,498.626111044944,37.04053703977735,0.0,-10.47664596784722,141.03276175862257,0.0
